	2017-09-16	11:59:14	45	37	2	14
	2017-09-16	11:59:15	29	38	2	0,5
	2017-09-16	12:00:43	35	29	2	25,5
	2017-09-16	12:01:22	41	35	2	25,5
	2017-09-16	12:02:21	39	27	2	25,5
	2017-09-16	12:02:23	36	29	2	1,1
	2017-09-16	12:02:28	27	28	2	4,4
	2017-09-16	12:02:34	96	25	3	4,6
	2017-09-16	12:02:37	11	30	1	3,1
	2017-09-16	12:02:39	34	34	2	0,5
	2017-09-16	12:04:04	32	28	2	25,5
	2017-09-16	12:04:06	30	30	2	1,1
	2017-09-16	12:04:09	29	31	2	3,3
	2017-09-16	12:05:42	49	35	2	25,5
	2017-09-16	12:05:50	27	32	2	7,4
	2017-09-16	12:06:37	40	29	2	25,5
	2017-09-16	12:07:13	42	32	2	25,5
	2017-09-16	12:07:15	44	30	2	0,9
	2017-09-16	12:07:17	39	29	2	1,1
	2017-09-16	12:07:20	47	40	2	2,6
	2017-09-16	12:07:26	33	35	2	5,7
	2017-09-16	12:07:29	55	30	2	2,5
	2017-09-16	12:07:55	39	33	2	25,2
	2017-09-16	12:08:37	36	31	2	25,5
	2017-09-16	12:08:38	31	31	2	0,6
	2017-09-16	12:08:40	37	39	2	2,1
	2017-09-16	12:08:44	61	34	3	2,3
	2017-09-16	12:08:52	39	30	2	7,6
	2017-09-16	12:08:54	33	34	2	0,8
	2017-09-16	12:09:26	34	41	2	25,5
	2017-09-16	12:10:02	37	32	2	25,5
	2017-09-16	12:10:04	40	34	2	0,9
	2017-09-16	12:10:06	41	35	2	1,7
	2017-09-16	12:10:08	26	31	2	1
	2017-09-16	12:10:10	36	32	2	1,4
	2017-09-16	12:10:11	33	31	2	0,8
	2017-09-16	12:10:57	13	6	1	25,5
	2017-09-16	12:11:11	56	31	2	13,1
	2017-09-16	12:11:12	19	31	1	0,7
	2017-09-16	12:11:12	34	35	2	0,4
	2017-09-16	12:11:20	19	43	1	7,3
	2017-09-16	12:11:21	28	46	2	0,3
	2017-09-16	12:11:22	11	34	1	1,2
	2017-09-16	12:11:23	35	39	2	0,6
	2017-09-16	12:11:26	44	35	2	1,9
	2017-09-16	12:11:54	42	42	2	25,5
	2017-09-16	12:11:55	37	40	2	1
	2017-09-16	12:12:05	46	33	2	8,6
	2017-09-16	12:12:26	34	48	2	21,3
	2017-09-16	12:12:32	40	34	2	5
	2017-09-16	12:13:22	24	37	2	25,5
	2017-09-16	12:13:28	45	36	2	5,7
	2017-09-16	12:13:31	34	38	2	2,3
	2017-09-16	12:13:34	49	39	2	2,3
	2017-09-16	12:13:37	43	34	2	2,5
	2017-09-16	12:13:39	38	33	2	1,2
	2017-09-16	12:13:42	41	41	2	2,3
	2017-09-16	12:13:46	55	35	2	3,7
	2017-09-16	12:14:49	39	40	2	25,5
	2017-09-16	12:14:53	53	42	2	2,6
	2017-09-16	12:15:27	28	31	2	25,5
	2017-09-16	12:15:29	45	34	2	1,4
	2017-09-16	12:15:31	41	38	2	1,2
	2017-09-16	12:15:32	31	38	2	1
	2017-09-16	12:16:12	40	35	2	25,5
	2017-09-16	12:16:16	37	33	2	3,7
	2017-09-16	12:16:18	38	31	2	1,5
	2017-09-16	12:16:21	53	33	2	2,2
	2017-09-16	12:16:23	36	36	2	0,9
	2017-09-16	12:16:31	27	31	2	7,9
	2017-09-16	12:16:34	35	36	2	2
	2017-09-16	12:16:58	36	35	2	24
	2017-09-16	12:17:00	41	43	2	1,5
	2017-09-16	12:17:06	42	38	2	5,2
	2017-09-16	12:17:08	37	39	2	1,3
	2017-09-16	12:17:11	40	42	2	2,4
	2017-09-16	12:17:14	37	30	2	2,7
	2017-09-16	12:17:44	48	40	2	25,5
	2017-09-16	12:18:40	39	36	2	25,5
	2017-09-16	12:18:42	33	35	2	1,1
	2017-09-16	12:18:43	39	41	2	1,1
	2017-09-16	12:18:49	37	32	2	4,8
	2017-09-16	12:18:50	27	35	2	1
	2017-09-16	12:18:52	34	34	2	0,8
	2017-09-16	12:18:56	29	32	2	3,2
	2017-09-16	12:20:19	45	37	2	25,5
	2017-09-16	12:20:24	56	30	2	3,8
